,correctness
0.0,0.002
0.01,0.049
0.02,0.091
0.03,0.104
0.04,0.144
0.05,0.147
0.06,0.174
0.07,0.201
0.08,0.203
0.09,0.212
0.1,0.249
0.11,0.243
0.12,0.265
0.13,0.256
0.14,0.278
0.15,0.291
0.16,0.251
0.17,0.29
0.18,0.288
0.19,0.316
0.2,0.339
0.21,0.338
0.22,0.329
0.23,0.332
0.24,0.366
0.25,0.364
0.26,0.359
0.27,0.361
0.28,0.336
0.29,0.363
0.3,0.374
0.31,0.371
0.32,0.343
0.33,0.38
0.34,0.374
0.35000000000000003,0.366
0.36,0.363
0.37,0.368
0.38,0.357
0.39,0.419
0.4,0.379
0.41000000000000003,0.347
0.42,0.396
0.43,0.342
0.44,0.352
0.45,0.36
0.46,0.368
0.47000000000000003,0.386
0.48,0.352
0.49,0.367
0.5,0.367
0.51,0.334
0.52,0.347
0.53,0.363
0.54,0.322
0.55,0.343
0.56,0.316
0.5700000000000001,0.313
0.58,0.31
0.59,0.302
0.6,0.301
0.61,0.319
0.62,0.3
0.63,0.303
0.64,0.283
0.65,0.273
0.66,0.255
0.67,0.282
0.68,0.258
0.6900000000000001,0.272
0.7000000000000001,0.247
0.71,0.246
0.72,0.241
0.73,0.235
0.74,0.214
0.75,0.21
0.76,0.21
0.77,0.216
0.78,0.201
0.79,0.181
0.8,0.173
0.81,0.173
0.8200000000000001,0.16
0.8300000000000001,0.155
0.84,0.159
0.85,0.138
0.86,0.135
0.87,0.112
0.88,0.113
0.89,0.091
0.9,0.114
0.91,0.08
0.92,0.078
0.93,0.089
0.9400000000000001,0.048
0.9500000000000001,0.061
0.96,0.032
0.97,0.029
0.98,0.02
0.99,0.008
